,ETH,TFUEL,VET,ZIL,QTUM,USDT,THETA,XLM,WAVES,ENJ,OMG,NANO,NEO,ZRX,FTM,EOS,USDS,BTC,ONE,MIOTA,XRP,ZEC,ONT,NULS,BSV,BNB,ADA,ATOM,PHB,ICX,BTT,DASH,LTC,BCH,XMR,XZC,USDC,BAT,ETC,TUSD,IOST,LINK,PAX,TRX
ETH,,,2.764e-05,9.618e-05,0.013267,0.0036831055946373982,0.00047565,0.0004713,0.009014,0.00054082,0.007753,0.005722,0.052008,0.00128303,,0.02594,,33.993949077064286,,0.00160728,0.00157513,0.37433,0.005603,0.00368814,,0.12513,0.00033856,,,0.001353,,0.58263,0.4925,,0.35901,0.042643,0.0036714763006204794,0.00131741,0.032134,0.003670398238208846,4.715e-05,0.0070116,0.003672420124862284,0.00012292
TFUEL,,,,,,82.5082508250825,,,,,,,,,,,,757575.7575757576,,,,,,,,2793.296089385475,,,,,,,,,,,80.90614886731392,,,81.69934640522877,,,81.36696501220504,
VET,36088.05485384338,,,,,133.01409949454643,,,,,,,,,,,,1219512.1951219512,,,,,,,,4522.840343735866,,,,,,,,,,,,,,,,,,
ZIL,10377.7501037775,,,,,38.28483920367535,,,,,,,,,,,,353356.89045936393,,,,,,,,1300.3901170351105,,,,,,,,,,,,,,,,,,
QTUM,75.23888345496952,,,,,0.27739251040221913,,,,,,,,,,,,2557.544757033248,,,,,,,,9.402030838661151,,,,,,,,,,,,,,,,,,
USDT,271.48,0.0121,0.007503,0.02609,3.599,,0.12907,0.12795,2.4484,0.14665,2.1047,1.5526,14.135,0.3484,0.02633,7.0441,0.9957,9228.4,0.02118,0.4371,0.42794,101.73,1.5215,1.0017,,33.9645,0.09189,6.783,,0.3669,0.0013636,158.1,133.7,428.25,97.56,,0.9968,0.3575,8.7162,0.9966,0.0128,1.9041,0.9969,0.03339
THETA,2094.723391776116,,,,,7.71188401326444,,,,,,,,,,,,71326.67617689016,,,,,,,,262.4671916010499,,,,,,,,,,,,,,,,,,
XLM,2117.2983273343216,,,,,7.8082298742875,,,,,,,,,,,,72098.05335255948,,,,,,,,265.2519893899204,,,,,,,,,,,7.780890133831311,,,7.774236181295188,,,7.782101167315175,
WAVES,110.75423634954036,,,,,0.40748135772788396,,,,,,,,,,,,3763.643206624012,,,,,,,,13.831258644536652,,,,,,,,,,,0.40500587258515247,,,0.406124355277586,,,0.40306328093510685,
ENJ,1839.7571520559288,,,,,6.775067750677507,,,,,,,,,,,,62695.924764890275,,,,,,,,230.52097740894422,,,,,,,,,,,,,,,,,,
